rank,topic_id,title,article_url,external_url,source_domain_label,excerpt,points,author_user_id,author_display_name,time_text,posted_at,collected_at,comment_count
12,28301,프롬프트에서 하네스까지 - AI 에이전틱 패턴 4년의 기록,https://news.hada.io/topic?id=28301,https://bits-bytes-nn.github.io/insights/agentic-ai/2026/04/05/evolution-of-ai-agentic-patterns.html,bits-bytes-nn.github.io,"2022~2026년, AI 개발 패러다임이 세 번 전환됨: Prompt Engineering → Context Engineering → Harness Engineering 각 전환은 이전 패러다임이 약...",66,xguru,xguru,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,7
13,28208,LLM-Wiki - LLM을 활용하여 개인 지식저장소 구축 하기,https://news.hada.io/topic?id=28208,https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f,gist.github.com/karpathy,"Andrej Karpathy가 최근 자신은 코드보다 개인 지식 저장소 구축에 토큰을 더 많이 쓰고 있다며, 이 LLM 기반 위키를 생성하기 위한 아이디어 가이...",158,neo,GN⁺,7일전,2026-04-05T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,15
15,28396,월 100달러 Claude Code 예산을 Zed와 OpenRouter로 재배분하기,https://news.hada.io/topic?id=28396,https://braw.dev/blog/2026-04-06-reallocating-100-month-claude-spend/,braw.dev,고정 구독형 클로드 코드(월 $100) 대신 Zed(월 $10) 와 OpenRouter 크레딧(월 $90) 로 나누어 사용하는 방식으로 전환 Zed는 빠른 반응성과 시각...,9,neo,GN⁺,1일전,2026-04-11T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
16,28246,Awesome Design.MD - 유명 웹사이트 디자인 시스템을 내 사이트에 적용하기,https://news.hada.io/topic?id=28246,https://github.com/VoltAgent/awesome-design-md,github.com/VoltAgent,"DESIGN.md는 Google Stitch가 도입한 개념으로, AI 에이전트가 읽고 일관된 UI를 생성하기 위한 텍스트 디자인 문서 Figma, JSON 스키마, 별도 툴...",100,xguru,xguru,6일전,2026-04-06T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,5
17,28341,"AX팀을 만드는 순간, 당신의 조직은 AX에 실패한다",https://news.hada.io/topic?id=28341,https://flowkater.io/posts/2026-04-08-ax-team-paradox/,flowkater.io,AX 추진팀 신설은 계층을 줄여야 할 때 계층을 하나 더 쌓는 역설이다. MIT NANDA 연구에서 성공한 5%는 중앙 AI 랩이 아니라 현장 관리자가 주도...,26,flowkater,flowkater,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,3
18,28418,Instant 1.0 – AI로 작성한 앱을 위한 백엔드 플랫폼,https://news.hada.io/topic?id=28418,https://www.instantdb.com/essays/architecture,instantdb.com,"바이브 코딩으로 만든 앱에 실시간 동기화, 오프라인 모드, 인증, 파일 저장소를 한 번에 붙여주는 오픈소스 백엔드 백엔드 생성이 VM 기동이 아니...",2,neo,GN⁺,12시간전,2026-04-12T01:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
19,28356,소프트웨어 개발자를 위한 USB: 사용자 공간 USB 드라이버 작성 입문,https://news.hada.io/topic?id=28356,https://werwolv.net/posts/usb_for_sw_devs/,werwolv.net,"USB 드라이버 개발은 커널 수준의 작업으로 여겨지지만, 실제로는 소켓 프로그래밍과 유사한 난이도로 사용자 공간에서도 구현 가능함 libusb를 사...",18,neo,GN⁺,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
21,28336,"AI 기반 Google Finance, 한국 포함 100개국 이상으로 글로벌 확장",https://news.hada.io/topic?id=28336,https://blog.google/products-and-platforms/products/search/google-finance-expansion/,blog.google,"Google Finance가 AI 기능을 탑재한 새 버전으로 전면 개편되어, 100개국 이상으로 확대하고 한국어도 지원 시작 AI 리서치 기능을 통해 시장 복잡...",23,neo,GN⁺,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,2
22,28404,나는 여전히 Skills보다 MCP를 선호한다,https://news.hada.io/topic?id=28404,https://david.coffee/i-still-prefer-mcp-over-skills/,david.coffee,"MCP는 LLM이 도구의 내부 구조를 몰라도 작업을 요청할 수 있는 API 추상화 기반 표준 인터페이스로, 원격 사용과 자동 업데이트를 지원함 Zero-In...",5,neo,GN⁺,1일전,2026-04-11T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,6
23,28399,multica - 코딩 에이전트를 실제 팀원으로 운영하는 관리형 에이전트 플랫폼,https://news.hada.io/topic?id=28399,https://github.com/multica-ai/multica,github.com/multica-ai,"동료에게 이슈를 할당하듯 에이전트에게 태스크를 배정하면, 에이전트가 코드 작성·블로커 보고·상태 업데이트를 자율 수행 Claude Code, Codex, O...",5,xguru,xguru,1일전,2026-04-11T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
24,28376,"Claude Code, 에이전트가 필요할 때 깨워주는 Monitor Tool 기능 도입",https://news.hada.io/topic?id=28376,https://x.com/noahzweben/status/2042332268450963774,x.com/noahzweben,"폴링으로 처리하는 대신, 클로드가 백그라운드 프로세스를 생성하고 표준 출력을 처리 상황 발생시 스레드를 차단하지 않고 대화창으로 스트리밍 &quot;...",12,xguru,xguru,2일전,2026-04-10T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
25,28340,Ruff·uv 만든 Astral이 공개한 오픈소스 보안 전략 전모,https://news.hada.io/topic?id=28340,https://astral.sh/blog/open-source-security-at-astral,astral.sh,"Astral은 전 세계 수백만 개발자가 의존하는 도구(Ruff, uv, ty)를 만들고 있으며, 최근 Trivy와 LiteLLM 공급망 해킹 사건을 계기로 자신들의 보...",21,darjeeling,darjeeling,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
26,28326,Claude Managed Agents - 프로덕션 속도를 10배 더 빠르게,https://news.hada.io/topic?id=28326,https://claude.com/blog/claude-managed-agents,claude.com,"클라우드 환경에서 대규모 에이전트를 구축·배포할 수 있는 조합형 API 제품군으로, 프로토타입을 며칠 내 프로덕션으로 전환 가능 보안 샌드박싱,...",21,neo,GN⁺,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
27,28303,코드 에이전트 오케스트라 - 멀티 에이전트 코딩을 제대로 작동시키는 법,https://news.hada.io/topic?id=28303,https://addyosmani.com/blog/code-agent-orchestra/,addyosmani.com,"단일 AI 어시스턴트와 동기적 루프로 협업하던 방식에서, 여러 에이전트가 각자의 컨텍스트 윈도우와 파일 범위를 가지고 비동기적으로 동작하는 ...",32,neo,GN⁺,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,2
28,28270,작은 언어 모델 GuppyLM으로 언어 모델의 작동 원리를 직접 체험하기,https://news.hada.io/topic?id=28270,https://github.com/arman-bd/guppylm,github.com/arman-bd,"약 9백만 개 파라미터를 가진 초소형 언어 모델로, Colab 노트북 하나로 5분 내 학습 가능한 구조 데이터 생성부터 토크나이저, 모델 학습, 추론까...",45,neo,GN⁺,5일전,2026-04-07T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
29,28335,webreel - 브라우저 데모를 MP4 영상으로 자동 녹화하는 CLI 도구,https://news.hada.io/topic?id=28335,https://github.com/vercel-labs/webreel,github.com/vercel-labs,JSON 설정 파일에 클릭·타이핑·드래그 등 액션을 정의하면 헤드리스 Chrome이 자동으로 구동되어 ~60fps로 캡처 후 ffmpeg으로 인코딩 커서 애니메...,18,xguru,xguru,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
30,28410,Claude Code /Ultraplan : 클라우드 기반 계획 수립 도구,https://news.hada.io/topic?id=28410,https://code.claude.com/docs/en/ultraplan,code.claude.com,"CLI에서 시작한 계획 작업을 클라우드로 넘겨 클로드 코드 웹에서 초안을 작성하고, 브라우저에서 검토·수정 후 웹 또는 로컬 터미널 중 원하는 곳...",3,neo,GN⁺,1일전,2026-04-11T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
32,28408,"WireGuard, Microsoft 서명 문제 해결 후 새 Windows 버전 공개",https://news.hada.io/topic?id=28408,https://lists.zx2c4.com/pipermail/wireguard/2026-April/009561.html,lists.zx2c4.com,WireGuardNT v0.11과 WireGuard for Windows v0.6이 공개되어 커널 드라이버와 관리 도구가 모두 최신화됨 새 버전은 패킷 손실 없는 허용 IP 제거...,3,neo,GN⁺,1일전,2026-04-11T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
36,28275,바이브 코딩 숭배는 미쳐있다,https://news.hada.io/topic?id=28275,https://bramcohen.com/p/the-cult-of-vibe-coding-is-insane,bramcohen.com,"Claude의 소스코드 유출 사건을 계기로, &quot;바이브 코딩(vibe coding)&quot;의 맹신이 실제 프로젝트 품질에 어떤 해를 끼치는지가 드러남 바이브 코딩은 ...",32,neo,GN⁺,5일전,2026-04-07T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,9
37,28272,"Claude Code, 2월 업데이트 이후 복잡한 엔지니어링 작업에서 사용 불가 수준으로 품질 저하",https://news.hada.io/topic?id=28272,https://github.com/anthropics/claude-code/issues/42796,github.com/anthropics,클로드 코드가 2월 업데이트 후 지시를 무시하거나 반대로 수행 또는 작업을 완료하지 않고 완료했다고 주장하는 등 복잡한 엔지니어링 작업 실패 ...,30,neo,GN⁺,5일전,2026-04-07T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,5
38,28312,macOS에 숨어있던 49일짜리 시한폭탄 — TCP 네트워킹이 완전히 멈추는 커널 버그 전말,https://news.hada.io/topic?id=28312,https://photon.codes/blog/we-found-a-ticking-time-bomb-in-macos-tcp-networking,photon.codes,macOS XNU 커널에서 정확히 49일 17시간 2분 47초 연속 가동 후 TCP 네트워킹이 완전히 마비되는 버그가 발견됐다. 원인은 커널 내부 TCP 타임스탬...,19,darjeeling,darjeeling,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,8
41,28245,rtk - LLM 토큰 소비를 60~90% 줄여주는 CLI 프록시,https://news.hada.io/topic?id=28245,https://github.com/rtk-ai/rtk,github.com/rtk-ai,"AI 코딩 도구가 실행하는 CLI 명령어 출력을 LLM에 전달하기 전에 필터링·압축해 토큰을 60~90% 절감하는 단일 Rust 바이너리(윈/맥/리눅스) git, ...",36,xguru,xguru,6일전,2026-04-06T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,9
42,28378,Shopify AI Toolkit - 클로드 코드/코덱스로 스토어를 관리하세요,https://news.hada.io/topic?id=28378,https://shopify.dev/docs/apps/build/ai-toolkit,shopify.dev,AI 에이전트가 Shopify 플랫폼의 문서·API 스키마·코드 검증 기능을 활용해 쇼핑몰을 편하게 구축/운영할 수 있도록 지원 &quot;내 상품들에 SEO 최적화...,6,neo,GN⁺,2일전,2026-04-10T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
43,28325,닌텐도 Wii에서 Mac OS X 10.0(Cheetah) 구동 성공,https://news.hada.io/topic?id=28325,https://bryankeller.github.io/2026/04/08/porting-mac-os-x-nintendo-wii.html,bryankeller.github.io,Wii의 PowerPC 기반 하드웨어를 이용해 Mac OS X 10.0(Cheetah) 을 네이티브로 실행하는 포팅 프로젝트 완성 Darwin/XNU 커널을 Wii에 맞게 수정하...,10,neo,GN⁺,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,3
44,28218,"Show GN: SQL, 진짜 데이터로 배워야 실력이 됩니다",https://news.hada.io/topic?id=28218,,github.com/civilian7,"SQL, 진짜 데이터로 배워야 실력이 됩니다 SQL 튜토리얼은 많습니다. 하지만 대부분 employees 테이블 3개짜리 예제로 끝납니다. 실무에서 마주치...",38,civilian,civilian,7일전,2026-04-05T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,7
45,28232,코딩 에이전트의 구성 요소,https://news.hada.io/topic?id=28232,https://magazine.sebastianraschka.com/p/components-of-a-coding-agent,magazine.sebastianraschka.com,"코딩 에이전트는 LLM을 중심으로 코드 작성, 실행, 피드백을 반복 수행하는 제어 루프와 소프트웨어 하니스로 구성된 시스템 에이전트 하니스는 컨...",31,neo,GN⁺,6일전,2026-04-06T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
46,28238,Caveman - 원시인 말투로 Claude/Codex 토큰 절약하기,https://news.hada.io/topic?id=28238,https://github.com/JuliusBrussee/caveman,github.com/JuliusBrussee,"원시인 말투로 응답하도록 강제해 평균 65~75%의 출력 토큰을 절감하는 스킬 Lite·Full·Ultra 세 단계로 압축 강도를 조절하며, 기술적 정확성을 ...",28,neo,GN⁺,6일전,2026-04-06T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,2
47,28237,기계는 괜찮아요. 나는 우리가 걱정됩니다.,https://news.hada.io/topic?id=28237,https://ergosphere.blog/posts/the-machines-are-fine/,ergosphere.blog,"AI 도구가 연구 전 과정을 자동화하면서 이해 없이 결과만 생산하는 연구자가 늘어나며, 진짜 위기는 기술의 한계가 아니라 인간의 학습 과정 자체...",28,neo,GN⁺,6일전,2026-04-06T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
48,28310,GoClaw: OpenClaw를 Go로 재구성한 멀티 에이전트 게이트웨이 (보안·성능 중심 재설계),https://news.hada.io/topic?id=28310,https://goclaw.sh/,goclaw.sh,"최근 에이전트 프레임워크(OpenClaw 계열)가 빠르게 확산되는 가운데, 이를 Go 기반으로 재구성한 GoClaw가 등장했습니다. GoClaw는 단순한 포팅이...",13,princox,princox,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
49,28320,Claude Mythos Preview의 사이버보안 능력 평가,https://news.hada.io/topic?id=28320,https://red.anthropic.com/2026/mythos-preview/,red.anthropic.com,Anthropic의 Claude Mythos Preview는 일반 목적 언어 모델임에도 사이버 보안 분야에서 전례 없는 수준의 취약점 발견 및 익스플로잇 능력을 보여...,9,neo,GN⁺,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
50,28239,"8년의 갈망, 3개월의 완성 - AI가 바꾼 사이드 프로젝트의 공식",https://news.hada.io/topic?id=28239,https://lalitm.com/post/building-syntaqlite-ai/,lalitm.com,오랫동안 부족했던 SQLite용 고품질 개발 도구를 AI의 도움으로 단기간에 완성 공식 문법 명세 부재와 복잡한 C 코드베이스로 인해 파서 구축이 가...,25,neo,GN⁺,6일전,2026-04-06T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
51,28389,NASA가 Artemis II의 내결함성 컴퓨터를 구축한 방법,https://news.hada.io/topic?id=28389,https://cacm.acm.org/news/how-nasa-built-artemis-iis-fault-tolerant-computer/,cacm.acm.org,"달 유인 비행선 Orion의 비행 컴퓨터는 Apollo 시대 시스템보다 복원력과 자동 제어 능력이 크게 향상된 구조로, 생명 유지·전력·통신 등 핵심 기...",3,neo,GN⁺,2일전,2026-04-10T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
52,28205,Mac mini에서 Ollama과 Gemma 4 26B 모델 설정 요약 (2026년 4월 기준),https://news.hada.io/topic?id=28205,https://gist.github.com/greenstevester/fc49b4e60a4fef9effc79066c1033ae5,gist.github.com/greenstevester,"Apple Silicon 기반 Mac mini에서 Ollama와 Gemma 4 모델을 자동 실행하고 메모리에 지속 유지하도록 구성하는 절차 정리 Homebrew, Launch Agent,...",33,neo,GN⁺,7일전,2026-04-05T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
53,28351,비트코인 창시자 사토시 나카모토는 누구인가,https://news.hada.io/topic?id=28351,https://www.nytimes.com/2026/04/08/business/bitcoin-satoshi-nakamoto-identity-adam-back.html,nytimes.com,"17년간 가명 뒤에 숨어 있던 비트코인 창시자 사토시 나카모토의 정체를, 뉴욕타임스 탐사 기자가 1년간 수만 건의 수십 년 된 인터넷 게시물을 파...",6,neo,GN⁺,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
54,28305,S3 Files와 변화하는 S3의 모습,https://news.hada.io/topic?id=28305,https://www.allthingsdistributed.com/2026/04/s3-files-and-the-changing-face-of-s3.html,allthingsdistributed.com,"대규모 데이터 이동의 비효율을 줄이기 위해, S3 데이터를 파일 시스템처럼 직접 접근할 수 있게 하는 S3 Files가 도입됨 이 기능은 Amazon EFS와 ...",10,neo,GN⁺,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,2
55,28242,Google AI Edge Gallery - 완전 오프라인 LLM 갤러리 앱 오픈소스,https://news.hada.io/topic?id=28242,https://github.com/google-ai-edge/gallery,github.com/google-ai-edge,"온디바이스 생성형 AI 실행에 특화된 iOS/안드로이드 앱으로, 인터넷 연결 없이 완전 오프라인·프라이빗 환경에서 LLM을 구동 Gemma 4 패밀리 공식...",19,xguru,xguru,6일전,2026-04-06T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,2
56,28276,고용주들이 개인 데이터로 지원자가 수락할 최저 연봉을 계산하는 '감시 임금' 시대,https://news.hada.io/topic?id=28276,https://www.marketwatch.com/story/employers-are-using-your-personal-data-to-figure-out-the-lowest-salary-youll-accept-c2b968fb,marketwatch.com,"'감시 임금' 은 근무 성과나 연차가 아닌, 직원 개인 데이터를 활용한 알고리듬이 임금을 결정하는 시스템으로, 종종 당사자 모르게 수집된 정보에...",13,neo,GN⁺,5일전,2026-04-07T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,7
57,28307,"Google, 실험적 에이전트 오케스트레이션 테스트베드 Scion 오픈소스 공개",https://news.hada.io/topic?id=28307,https://googlecloudplatform.github.io/scion/overview/,googlecloudplatform.github.io,컨테이너 안에서 동시에 실행되는 LLM 기반 에이전트들을 로컬 머신과 원격 클러스터에 걸쳐 관리하도록 설계된 실험적 플랫폼 각 에이전트는 독립...,9,neo,GN⁺,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
58,28302,이제 Google Vids Screen Recorder Chrome 확장으로 직접 화면 녹화 가능,https://news.hada.io/topic?id=28302,https://workspaceupdates.googleblog.com/2026/04/record-your-screen-directly-from-chrome-with-the-Google-Vids-Screen-Recorder-Chrome-Extension.html,workspaceupdates.googleblog.com,Chrome 확장 프로그램 하나로 별도 앱 없이 브라우저 어느 탭에서나 클릭 한 번으로 화면 녹화를 시작할 수 있는 기능이 Google Vids에 추가됨 이...,9,neo,GN⁺,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
59,28304,달 궤도 비행,https://news.hada.io/topic?id=28304,https://www.nasa.gov/gallery/lunar-flyby/,nasa.gov,"Artemis II 우주비행사들이 달 궤도 비행 중 촬영한 첫 번째 사진이 공개되어, 인류가 처음 보는 달의 뒷면과 우주 공간의 일식 장면이 포함됨 Ori...",8,neo,GN⁺,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
60,28296,GLM-5.1: 장기적 과제 수행을 향한 진화,https://news.hada.io/topic?id=28296,https://z.ai/blog/glm-5.1,z.ai,"차세대 에이전틱 엔지니어링 모델 GLM-5.1은 코딩과 문제 해결 능력을 대폭 강화한 플래그십 버전으로, 장기적 최적화와 지속적 개선을 핵심으로 ...",8,neo,GN⁺,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
61,28293,"Anthropic의 최강 보안 AI &quot;Claude Mythos&quot;, 일반 공개 대신 선택된 파트너에게만 제한 배포",https://news.hada.io/topic?id=28293,https://simonwillison.net/2026/Apr/7/project-glasswing/,simonwillison.net,"Anthropic이 신규 모델 Claude Mythos를 일반에 공개하지 않고, &quot;프로젝트 글래스윙(Project Glasswing)&quot; 이라는 제한적 프리뷰 프로그램을 통해 ...",8,darjeeling,darjeeling,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,4
62,28288,AI 챗봇에 가짜 질병을 물어봤더니… &quot;실제 병입니다&quot;라고 답했다,https://news.hada.io/topic?id=28288,https://www.nature.com/articles/d41586-026-01100-y,nature.com,스웨덴 연구자가 완전히 허구의 질병 &quot;빅소니마니아(Bixonimania)&quot; 를 만들어 AI 챗봇들이 이를 실제 질병처럼 안내하는지 실험했다. 결과는 충격...,9,darjeeling,darjeeling,5일전,2026-04-07T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,4
63,28273,Sam Altman이 우리의 미래를 통제할지도 모른다 – 그를 신뢰할 수 있을까?,https://news.hada.io/topic?id=28273,https://www.newyorker.com/magazine/2026/04/13/sam-altman-may-control-our-future-can-he-be-trusted,newyorker.com,"OpenAI는 설립 초기부터 AI를 인류 역사상 가장 강력하고 잠재적으로 위험한 기술로 규정하고, 비영리법인으로 출발해 인류의 안전을 회사 존립보...",11,neo,GN⁺,5일전,2026-04-07T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
64,28295,Project Glasswing: AI 시대의 핵심 소프트웨어 보안을 위한 글로벌 협력,https://news.hada.io/topic?id=28295,https://www.anthropic.com/glasswing,anthropic.com,"Amazon, Apple, Google, Microsoft 등 주요 기술 기업이 참여한 Project Glasswing은 AI를 활용해 전 세계 핵심 소프트웨어의 보안 취약점을 탐지...",7,neo,GN⁺,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,2
65,28265,LM Studio Headless CLI와 Claude Code로 로컬에서 Google Gemma 4 실행하기,https://news.hada.io/topic?id=28265,https://ai.georgeliu.com/p/running-google-gemma-4-locally-with,ai.georgeliu.com,Gemma 4는 mixture-of-experts 구조로 일부 파라미터만 활성화해 저사양 하드웨어에서도 고성능 추론을 지원 LM Studio 0.4.0은 새로운 Headless C...,11,neo,GN⁺,5일전,2026-04-07T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
66,28371,FreeBSD 사용에 적합한 최고의 노트북들,https://news.hada.io/topic?id=28371,https://freebsdfoundation.github.io/freebsd-laptop-testing/,freebsdfoundation.github.io,"FreeBSD Foundation이 주요 노트북 모델의 하드웨어 호환성을 평가해 점수화한 결과를 공개 Framework Laptop 시리즈, HP EliteBook 845 G7, Lenov...",2,neo,GN⁺,2일전,2026-04-10T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
67,28209,goose - Block이 만든 오픈소스 로컬 실행 자율 AI 개발 에이전트,https://news.hada.io/topic?id=28209,https://block.github.io/goose/,block.github.io,"프로젝트 생성, 코드 실행·수정·테스트, 디버깅, 워크플로 오케스트레이션, 외부 API 연동까지 처음부터 끝까지 자율 수행하는 로컬 실행 AI 에이...",13,xguru,xguru,7일전,2026-04-05T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
